Forum.id|Person.id|joinDate
0|2199023256077|2010-04-22T12:31:07.947+0000
0|10995116278291|2010-11-15T07:23:59.104+0000
0|24189255811254|2011-12-15T02:34:53.085+0000
893353197569|24189255811254|2012-04-15T18:07:22.687+0000
481036337154|2199023256077|2011-09-11T17:20:51.452+0000
755914244099|24189255811254|2012-04-04T17:42:53.483+0000
893353197573|2199023256077|2012-09-03T16:44:14.799+0000
618475290630|2199023256077|2011-09-24T07:20:39.109+0000
618475290630|10995116278291|2011-10-19T04:56:02.522+0000
481036337162|2199023256077|2011-04-02T06:18:30.757+0000
481036337162|24189255811254|2012-01-20T16:57:18.056+0000
343597383692|10995116278291|2011-11-28T21:57:08.927+0000
343597383693|2199023256077|2011-08-26T17:17:23.926+0000
343597383693|24189255811254|2012-08-27T05:45:16.604+0000
137438953486|10995116278291|2011-06-05T16:45:09.263+0000
206158430223|2199023256077|2010-12-28T16:56:46.391+0000
206158430223|10995116278291|2011-04-06T10:59:07.673+0000
206158430223|24189255811254|2012-05-28T14:32:56.909+0000
481036337168|10995116278291|2011-08-02T21:21:26.241+0000
481036337168|24189255811254|2012-05-07T09:32:28.879+0000
412316860433|2199023256077|2011-06-22T22:23:46.166+0000
412316860433|10995116278291|2011-11-08T17:49:18.252+0000
412316860433|24189255811254|2012-07-11T15:12:10.078+0000
687194767378|2199023256077|2012-03-29T13:12:06.662+0000
687194767378|10995116278291|2012-01-08T20:12:09.702+0000
618475290643|2199023256077|2012-03-14T01:03:24.726+0000
618475290643|10995116278291|2012-05-08T22:06:49.110+0000
687194767380|2199023256077|2011-12-28T23:49:46.151+0000
687194767380|10995116278291|2012-01-17T06:33:26.383+0000
687194767380|24189255811254|2012-03-28T00:56:24.663+0000
206158430229|10995116278291|2011-12-15T22:20:49.551+0000
206158430229|24189255811254|2012-01-18T05:46:01.235+0000
618475290646|2199023256077|2012-02-15T03:28:12.586+0000
206158430231|2199023256077|2012-01-15T20:20:07.189+0000
206158430231|10995116278291|2011-10-29T04:20:09.102+0000
206158430231|24189255811254|2012-06-30T14:46:58.981+0000
824633720856|2199023256077|2012-09-12T18:09:59.070+0000
824633720856|10995116278291|2012-05-03T02:38:40.166+0000
